"","Country.Region","date"
"Benin-2020-02-25","Benin","2020-02-25"
"Benin-2020-02-26","Benin","2020-02-26"
"Benin-2020-02-27","Benin","2020-02-27"
"Benin-2020-02-28","Benin","2020-02-28"
"Benin-2020-02-29","Benin","2020-02-29"
"Benin-2020-03-01","Benin","2020-03-01"
"Benin-2020-03-02","Benin","2020-03-02"
"Benin-2020-03-03","Benin","2020-03-03"
"Benin-2020-03-04","Benin","2020-03-04"
"Benin-2020-03-05","Benin","2020-03-05"
"Benin-2020-03-06","Benin","2020-03-06"
"Benin-2020-03-07","Benin","2020-03-07"
"Benin-2020-03-08","Benin","2020-03-08"
"Benin-2020-03-09","Benin","2020-03-09"
"Benin-2020-03-10","Benin","2020-03-10"
"Benin-2020-03-11","Benin","2020-03-11"
"Benin-2020-03-12","Benin","2020-03-12"
"Benin-2020-03-13","Benin","2020-03-13"
"Benin-2020-03-14","Benin","2020-03-14"
"Benin-2020-03-15","Benin","2020-03-15"
"Benin-2020-03-16","Benin","2020-03-16"
"Benin-2020-03-17","Benin","2020-03-17"
"Benin-2020-03-18","Benin","2020-03-18"
"Benin-2020-03-19","Benin","2020-03-19"
"Benin-2020-03-20","Benin","2020-03-20"
"Benin-2020-03-21","Benin","2020-03-21"
"Benin-2020-03-22","Benin","2020-03-22"
"Bhutan-2020-01-22","Bhutan","2020-01-22"
"Bhutan-2020-01-23","Bhutan","2020-01-23"
"Bhutan-2020-01-24","Bhutan","2020-01-24"
"Bhutan-2020-01-25","Bhutan","2020-01-25"
"Bhutan-2020-01-26","Bhutan","2020-01-26"
"Bhutan-2020-01-27","Bhutan","2020-01-27"
"Bhutan-2020-01-28","Bhutan","2020-01-28"
"Bhutan-2020-01-29","Bhutan","2020-01-29"
"Bhutan-2020-01-30","Bhutan","2020-01-30"
"Bhutan-2020-01-31","Bhutan","2020-01-31"
"Bhutan-2020-02-01","Bhutan","2020-02-01"
"Bhutan-2020-02-02","Bhutan","2020-02-02"
"Bhutan-2020-02-03","Bhutan","2020-02-03"
